HpSvcId	WorkorderId
71.005	774.325
71.005	774.324
71.005	774.326
71.006	774.347
71.006	774.346
71.006	774.345
71.006	774.344
71.052	774.737
71.052	774.736
71.052	774.738
69.445	756.529
69.445	756.528
69.445	756.527
70.745	771.409
70.745	771.410
69.442	756.466
69.442	756.465
69.442	756.462
69.442	756.463
69.442	756.467
69.442	756.470
69.442	756.468
69.442	756.469
69.442	756.464
69.448	756.561
69.448	756.555
69.448	756.556
69.448	756.557
69.448	756.558
69.448	756.560
69.448	756.562
69.448	756.563
69.448	756.559
70.743	771.380
70.743	771.379
70.743	771.378
70.743	771.377
71.048	774.695
71.048	774.696
71.048	774.699
71.048	774.697
71.048	774.698
69.478	756.912
69.478	756.911
69.478	756.910
70.746	771.428
70.746	771.427
70.746	771.426
69.477	756.891
69.477	756.895
69.477	756.888
69.477	756.889
69.477	756.890
69.477	756.896
69.477	756.894
69.477	756.892
69.477	756.893
69.479	756.921
69.479	756.916
69.479	756.917
69.479	756.918
69.479	756.920
69.479	756.919
70.744	771.394
70.744	771.393
70.744	771.395
70.744	771.396
71.047	774.678
71.047	774.682
71.047	774.681
71.047	774.680
71.047	774.679
70.823	772.407
70.823	772.408
70.823	772.409
70.911	773.382
70.911	773.381
70.829	772.485
70.829	772.484
70.829	772.483
70.829	772.482
70.829	772.481
70.830	772.504
70.830	772.501
70.830	772.503
70.830	772.505
70.830	772.502
68.523	745.586
68.523	745.581
68.523	745.582
68.523	745.583
68.523	745.585
68.523	745.580
68.523	745.584
66.566	722.933
66.566	722.934
66.566	722.936
66.566	722.935
66.567	722.941
66.567	722.940
66.567	722.939
66.567	722.938
66.563	722.905
66.563	722.909
66.563	722.908
66.563	722.907
66.563	722.906
66.568	722.951
66.568	722.944
66.568	722.945
66.568	722.946
66.568	722.947
66.568	722.948
66.568	722.950
66.568	722.952
66.568	722.943
66.568	722.949
66.569	722.954
66.569	722.956
66.569	722.955
68.442	744.580
68.442	744.581
68.442	744.584
