Id	Omschrijving	Status	Categorie	HpSvcId	Appid
71720	EDS DTS - Implementatie SharePoint componenten	Geaccepteerd	CAT1	71.005	96
71721	EDS DTS - Implementatie Product catalog update script	Geaccepteerd	CAT1	71.006	96
71722	EDS DTS - autorisatie: toevoegen role ?ctlg_CatalogWriterRole?  aan account  zzedsruntimesvc2 op A en P	Geaccepteerd	CAT1	71.052	96
71723	EDS - OVIZ: aanmaken zz accounts	Geaccepteerd	CAT1	69.445	97
71724	EDS OVIZ - ADFS rule aanmaken op OT omgeving ivm C# migratie	Geaccepteerd	CAT1	70.745	97
71725	EDS - OVIZ: migratie naar het webhosting (c# 4.5) platform	In uitvoering	CAT1	69.442	97
71726	EDS - OVIZ: aanpassen ISA	In uitvoering	CAT1	69.448	97
71727	EDS OVIZ - aanvraag DNS entries tbv C# migratie	In uitvoering	CAT0	70.743	97
71728	EDS OVIZ - ADFS rule aanmaken op AP omgeving ivm C# migratie	In uitvoering	CAT1	71.048	97
71729	EDS - RBCZ: aanmaken zz accounts	Geaccepteerd	CAT1	69.478	98
71730	EDS RBCZ - ADFS rule aanmaken op OT omgeving ivm C# migratie	Geaccepteerd	CAT1	70.746	98
71731	EDS - RBCZ: aanpassen ISA	In uitvoering	CAT1	69.477	98
71732	EDS - RBCZ: migratie naar het webhosting (c# 4.5) platform	In uitvoering	CAT1	69.479	98
71733	EDS RBCZ - aanvraag DNS entries tbv C# migratie	In uitvoering	CAT0	70.744	98
71734	EDS RBCZ - ADFS rule aanmaken op AP omgeving ivm C# migratie	In uitvoering	CAT1	71.047	98
71735	EDS Ordersearch - oplevering C# componenten tbv gemigreerde EDS Ordersearch 	Geaccepteerd	CAT1	70.823	99
71736	EDS Ordersearch - nieuwe serviceaccount tbv EDS Ordersearch (A en P omgeving)	Geaccepteerd	CAT1	70.911	99
71737	EDS Ordersearch - ADFS rule aanmaken tbv EDS Ordersearch A en P omgeving	In uitvoering	CAT1	70.829	99
71738	EDS Ordersearch - TMG rules aanpassen A en P omgeving tbv EDS Ordersearch	In uitvoering	CAT1	70.830	99
71739	ERHviewer: migratie naar diensten	In uitvoering	CAT1	68.523	100
71740	FWE Registreren standaard C# 4.5 applicatie in ISA	In uitvoering	CAT0	66.566	101
71741	FWE C# 4.5 applicatie via script toevoegen in ADFS Op de actieve ADFS server in OT, GATDIENSTEN en DIENSTEN dient  met de parameter FWE het volgende script uitgevoerd te worden:  d:\beheer\scripts\ADFS2\ Create-RelyingPartyTrust.PS1 WebFWE 	In uitvoering	CAT0	66.567	101
71742	FWE: Nieuwe DNS entry/entries voor FWE	In uitvoering	CAT0	66.563	102
71743	FWE: migratie naar diensten	In uitvoering	CAT1	66.568	102
71744	FWE  raadplegen: aanvraag  zz account door OTAP	Geaccepteerd	CAT1	66.569	103
71745	account zzgaikbeheer aanmaken voor OTAP	In uitvoering	CAT1	68.442	104
71746	Gaik beheer: migratie naar diensten	In uitvoering	CAT1	68.471	104
71747	Gaik online: verwijderen oude adfs claim en toevoegen nieuwe claim	In uitvoering	CAT1	68.474	105
71748	Gaik online: Registreren standaard C# 4.5 applicatie in ISA	In uitvoering	CAT0	68.479	105
71749	Gaik online: migratie naar diensten	In uitvoering	CAT1	68.493	105
71750	IKR: Registreren standaard C# 4.5 applicatie in ISA	In uitvoering	CAT0	68.995	106
71751	ikr: migratie naar diensten	In uitvoering	CAT1	68.996	106
71752	IKR: standaard adfs claim rule aanmaken	In uitvoering	CAT0	69.289	106
71753	Inform: Aanvragen zz account voor migratie naar diensten	In uitvoering	CAT0	70.869	107
