Groep	Omschrijving
AP	20 AP-Model Bouw
AP	40 AP-Model Implementeren op acceptatie 
AP	45 AP-Model GAT test
AP	50 AP-Model Vrijgave wijziging
AP	60 AP-Model Implementeren op productie
AP	80 AP-Model  Accepteren van de wijziging
AP	90 AP-Model Bijwerken CMDB
AP	99 AP-Model Evaluatie
KPW	20 KPW bouw
KPW	35 KPW Funct. test
KPW	45 KPW Gat test 
KPW	60 KPW Impl.op productie 
KPW	99 KPW Evaluatie vd wijziging 
OTAP	20 OTAP Bouw
OTAP	30 OTAP Implementeren op test
OTAP	35 OTAP Functionele test
OTAP	40 OTAP Implementeren op acceptatie
OTAP	45 OTAP GAT test
OTAP	50 OTAP Vrijgave wijziging
OTAP	60 OTAP Implementeren op productie
OTAP	80 OTAP Accepteren van de wijziging
OTAP	90 OTAP Bijwerken CMDB
OTAP	99 OTAP Evalueren van de wijziging
P	10 P-Model intake
P	20 P-Model bouw
P	60 P-Model Implementeren op productie
P	80 P-Mode  Accepteren van de wijziging
P	90 P-Model Bijwerken CMDB
P	99 P-Model Evaluatie
Verkort	10 Verkort model Intake
Verkort	50 Verkort Vrijgave wijziging
Verkort	60 Verkort model Implementeren op productie
Verkort	80 Verkort model Acceptatie vd wijziging
Verkort	90 Verkort model Bijwerken CMDB
Verkort	99 Verkort model  Evaluatie
