Id	Omschrijving	Status	RfcId	HpSvcId
24	90 AP-Model Bijwerken CMDB	Wacht op uitvoering	71.005	774.325
25	99 AP-Model Evaluatie	Wacht op uitvoering	71.005	774.324
26	80 AP-Model  Accepteren van de wijziging	In uitvoering	71.005	774.326
27	60 AP-Model Implementeren op productie	In uitvoering	71.006	774.347
28	80 AP-Model  Accepteren van de wijziging	Wacht op uitvoering	71.006	774.346
29	90 AP-Model Bijwerken CMDB	Wacht op uitvoering	71.006	774.345
30	99 AP-Model Evaluatie	Wacht op uitvoering	71.006	774.344
31	90 Verkort model Bijwerken CMDB	Wacht op uitvoering	71.052	774.737
32	99 Verkort model  Evaluatie 	Wacht op uitvoering	71.052	774.736
33	80 Verkort model Acceptatie vd wijziging	In uitvoering	71.052	774.738
34	80 Verkort model Acceptatie vd wijziging	In uitvoering	69.445	756.529
35	90 Verkort model Bijwerken CMDB	Wacht op uitvoering	69.445	756.528
36	99 Verkort model  Evaluatie 	Wacht op uitvoering	69.445	756.527
37	99 Verkort model  Evaluatie 	Wacht op uitvoering	70.745	771.409
38	90 Verkort model Bijwerken CMDB	In uitvoering	70.745	771.410
39	50 OTAP Vrijgave wijziging	Wacht op uitvoering	69.442	756.466
40	60 OTAP Implementeren op productie	Wacht op uitvoering	69.442	756.465
41	99 OTAP Evalueren van de wijziging	Wacht op uitvoering	69.442	756.462
42	90 OTAP Bijwerken CMDB	Wacht op uitvoering	69.442	756.463
43	45 OTAP GAT test	Wacht op uitvoering	69.442	756.467
44	30 OTAP Implementeren op test	In uitvoering	69.442	756.470
45	40 OTAP Implementeren op acceptatie	Wacht op uitvoering	69.442	756.468
46	35 OTAP Functionele test	Wacht op uitvoering	69.442	756.469
47	80 OTAP Accepteren van de wijziging	Wacht op uitvoering	69.442	756.464
48	40 OTAP Implementeren op acceptatie	Wacht op uitvoering	69.448	756.561
49	99 OTAP Evalueren van de wijziging	Wacht op uitvoering	69.448	756.555
50	90 OTAP Bijwerken CMDB	Wacht op uitvoering	69.448	756.556
51	80 OTAP Accepteren van de wijziging	Wacht op uitvoering	69.448	756.557
52	60 OTAP Implementeren op productie	Wacht op uitvoering	69.448	756.558
53	45 OTAP GAT test	Wacht op uitvoering	69.448	756.560
54	35 OTAP Functionele test	Wacht op uitvoering	69.448	756.562
55	30 OTAP Implementeren op test	In uitvoering	69.448	756.563
56	50 OTAP Vrijgave wijziging	Wacht op uitvoering	69.448	756.559
57	35 KPW Funct. test	In uitvoering	70.743	771.380
58	45 KPW Gat test 	Wacht op uitvoering	70.743	771.379
59	60 KPW Impl.op productie 	Wacht op uitvoering	70.743	771.378
60	99 KPW Evaluatie vd wijziging 	Wacht op uitvoering	70.743	771.377
61	99 Verkort model  Evaluatie 	Wacht op uitvoering	71.048	774.695
62	90 Verkort model Bijwerken CMDB	Wacht op uitvoering	71.048	774.696
63	50 Verkort Vrijgave wijziging	In uitvoering	71.048	774.699
64	80 Verkort model Acceptatie vd wijziging	Wacht op uitvoering	71.048	774.697
65	60 Verkort model Implementeren op productie	Wacht op uitvoering	71.048	774.698
66	80 Verkort model Acceptatie vd wijziging	In uitvoering	69.478	756.912
67	90 Verkort model Bijwerken CMDB	Wacht op uitvoering	69.478	756.911
68	99 Verkort model  Evaluatie 	Wacht op uitvoering	69.478	756.910
69	80 Verkort model Acceptatie vd wijziging	In uitvoering	70.746	771.428
70	90 Verkort model Bijwerken CMDB	Wacht op uitvoering	70.746	771.427
71	99 Verkort model  Evaluatie 	Wacht op uitvoering	70.746	771.426
72	60 OTAP Implementeren op productie	Wacht op uitvoering	69.477	756.891
73	35 OTAP Functionele test	Wacht op uitvoering	69.477	756.895
74	99 OTAP Evalueren van de wijziging	Wacht op uitvoering	69.477	756.888
75	90 OTAP Bijwerken CMDB	Wacht op uitvoering	69.477	756.889
76	80 OTAP Accepteren van de wijziging	Wacht op uitvoering	69.477	756.890
77	30 OTAP Implementeren op test	In uitvoering	69.477	756.896
78	40 OTAP Implementeren op acceptatie	Wacht op uitvoering	69.477	756.894
79	50 OTAP Vrijgave wijziging	Wacht op uitvoering	69.477	756.892
80	45 OTAP GAT test	Wacht op uitvoering	69.477	756.893
81	45 OTAP GAT test	In uitvoering	69.479	756.921
82	99 OTAP Evalueren van de wijziging	Wacht op uitvoering	69.479	756.916
83	90 OTAP Bijwerken CMDB	Wacht op uitvoering	69.479	756.917
84	80 OTAP Accepteren van de wijziging	Wacht op uitvoering	69.479	756.918
85	50 OTAP Vrijgave wijziging	Wacht op uitvoering	69.479	756.920
86	60 OTAP Implementeren op productie	Wacht op uitvoering	69.479	756.919
87	60 KPW Impl.op productie 	Wacht op uitvoering	70.744	771.394
88	99 KPW Evaluatie vd wijziging 	Wacht op uitvoering	70.744	771.393
89	45 KPW Gat test 	Wacht op uitvoering	70.744	771.395
90	35 KPW Funct. test	In uitvoering	70.744	771.396
91	99 Verkort model  Evaluatie 	Wacht op uitvoering	71.047	774.678
92	50 Verkort Vrijgave wijziging	In uitvoering	71.047	774.682
93	60 Verkort model Implementeren op productie	Wacht op uitvoering	71.047	774.681
94	80 Verkort model Acceptatie vd wijziging	Wacht op uitvoering	71.047	774.680
