'Wijziging;Project;ID'	'Wijziging;ID'	'Wijziging;Korte omschrijving'	'Wijziging;Status'	'Wijziging;Categorie'	'ID'	'Korte omschrijving'	'Status'
'1.778'	'62.004'	'ADFS configureren voor webapplicatie RET'	'In uitvoering'	'CAT1'	'673.682'	'10 OTAP Intake'	'Is uitgevoerd'
'1.778'	'62.004'	'ADFS configureren voor webapplicatie RET'	'In uitvoering'	'CAT1'	'673.681'	'20 OTAP Bouw'	'Is uitgevoerd'
'1.778'	'62.004'	'ADFS configureren voor webapplicatie RET'	'In uitvoering'	'CAT1'	'673.680'	'30 OTAP Implementeren op test'	'Is uitgevoerd'
'1.778'	'62.004'	'ADFS configureren voor webapplicatie RET'	'In uitvoering'	'CAT1'	'673.679'	'35 OTAP Functionele test'	'In uitvoering'
'1.778'	'62.004'	'ADFS configureren voor webapplicatie RET'	'In uitvoering'	'CAT1'	'673.678'	'40 OTAP Implementeren op acceptatie'	'Wacht op uitvoering'
'1.778'	'62.004'	'ADFS configureren voor webapplicatie RET'	'In uitvoering'	'CAT1'	'673.677'	'45 OTAP GAT test'	'Wacht op uitvoering'
'1.778'	'62.004'	'ADFS configureren voor webapplicatie RET'	'In uitvoering'	'CAT1'	'673.676'	'50 OTAP Vrijgave wijziging'	'Wacht op uitvoering'
'1.778'	'62.004'	'ADFS configureren voor webapplicatie RET'	'In uitvoering'	'CAT1'	'673.675'	'60 OTAP Implementeren op productie'	'Wacht op uitvoering'
'1.778'	'62.004'	'ADFS configureren voor webapplicatie RET'	'In uitvoering'	'CAT1'	'673.674'	'80 OTAP Accepteren van de wijziging'	'Wacht op uitvoering'
'1.778'	'62.004'	'ADFS configureren voor webapplicatie RET'	'In uitvoering'	'CAT1'	'673.673'	'90 OTAP Bijwerken CMDB'	'Wacht op uitvoering'
'1.778'	'62.004'	'ADFS configureren voor webapplicatie RET'	'In uitvoering'	'CAT1'	'673.672'	'99 OTAP Evalueren van de wijziging'	'Wacht op uitvoering'
'1.778'	'62.067'	'RET: migratie naar nieuw c# platform'	'In uitvoering'	'CAT1'	'674.449'	'10 OTAP Intake'	'Is uitgevoerd'
'1.778'	'62.067'	'RET: migratie naar nieuw c# platform'	'In uitvoering'	'CAT1'	'674.448'	'20 OTAP Bouw'	'Is uitgevoerd'
'1.778'	'62.067'	'RET: migratie naar nieuw c# platform'	'In uitvoering'	'CAT1'	'674.447'	'30 OTAP Implementeren op test'	'Is uitgevoerd'
'1.778'	'62.067'	'RET: migratie naar nieuw c# platform'	'In uitvoering'	'CAT1'	'674.446'	'35 OTAP Functionele test'	'In uitvoering'
'1.778'	'62.067'	'RET: migratie naar nieuw c# platform'	'In uitvoering'	'CAT1'	'674.445'	'40 OTAP Implementeren op acceptatie'	'Wacht op uitvoering'
'1.778'	'62.067'	'RET: migratie naar nieuw c# platform'	'In uitvoering'	'CAT1'	'674.444'	'45 OTAP GAT test'	'Wacht op uitvoering'
'1.778'	'62.067'	'RET: migratie naar nieuw c# platform'	'In uitvoering'	'CAT1'	'674.443'	'50 OTAP Vrijgave wijziging'	'Wacht op uitvoering'
'1.778'	'62.067'	'RET: migratie naar nieuw c# platform'	'In uitvoering'	'CAT1'	'674.442'	'60 OTAP Implementeren op productie'	'Wacht op uitvoering'
'1.778'	'62.067'	'RET: migratie naar nieuw c# platform'	'In uitvoering'	'CAT1'	'674.441'	'80 OTAP Accepteren van de wijziging'	'Wacht op uitvoering'
'1.778'	'62.067'	'RET: migratie naar nieuw c# platform'	'In uitvoering'	'CAT1'	'674.440'	'90 OTAP Bijwerken CMDB'	'Wacht op uitvoering'
'1.778'	'62.067'	'RET: migratie naar nieuw c# platform'	'In uitvoering'	'CAT1'	'674.439'	'99 OTAP Evalueren van de wijziging'	'Wacht op uitvoering'
'1.778'	'62.068'	'RET: configureren ISA voor nieuwe omgeving'	'In uitvoering'	'CAT1'	'674.460'	'10 OTAP Intake'	'Is uitgevoerd'
'1.778'	'62.068'	'RET: configureren ISA voor nieuwe omgeving'	'In uitvoering'	'CAT1'	'674.459'	'20 OTAP Bouw'	'Is uitgevoerd'
'1.778'	'62.068'	'RET: configureren ISA voor nieuwe omgeving'	'In uitvoering'	'CAT1'	'674.458'	'30 OTAP Implementeren op test'	'Is uitgevoerd'
'1.778'	'62.068'	'RET: configureren ISA voor nieuwe omgeving'	'In uitvoering'	'CAT1'	'674.457'	'35 OTAP Functionele test'	'In uitvoering'
'1.778'	'62.068'	'RET: configureren ISA voor nieuwe omgeving'	'In uitvoering'	'CAT1'	'674.456'	'40 OTAP Implementeren op acceptatie'	'Wacht op uitvoering'
'1.778'	'62.068'	'RET: configureren ISA voor nieuwe omgeving'	'In uitvoering'	'CAT1'	'674.455'	'45 OTAP GAT test'	'Wacht op uitvoering'
'1.778'	'62.068'	'RET: configureren ISA voor nieuwe omgeving'	'In uitvoering'	'CAT1'	'674.454'	'50 OTAP Vrijgave wijziging'	'Wacht op uitvoering'
'1.778'	'62.068'	'RET: configureren ISA voor nieuwe omgeving'	'In uitvoering'	'CAT1'	'674.453'	'60 OTAP Implementeren op productie'	'Wacht op uitvoering'
'1.778'	'62.068'	'RET: configureren ISA voor nieuwe omgeving'	'In uitvoering'	'CAT1'	'674.452'	'80 OTAP Accepteren van de wijziging'	'Wacht op uitvoering'
'1.778'	'62.068'	'RET: configureren ISA voor nieuwe omgeving'	'In uitvoering'	'CAT1'	'674.451'	'90 OTAP Bijwerken CMDB'	'Wacht op uitvoering'
'1.778'	'62.068'	'RET: configureren ISA voor nieuwe omgeving'	'In uitvoering'	'CAT1'	'674.450'	'99 OTAP Evalueren van de wijziging'	'Wacht op uitvoering'
'1.778'	'63.773'	'standcodering: migratie naar diensten'	'In uitvoering'	'CAT1'	'692.233'	'10 OTAP Intake'	'Is uitgevoerd'
'1.778'	'63.773'	'standcodering: migratie naar diensten'	'In uitvoering'	'CAT1'	'692.232'	'20 OTAP Bouw'	'Is uitgevoerd'
'1.778'	'63.773'	'standcodering: migratie naar diensten'	'In uitvoering'	'CAT1'	'692.231'	'30 OTAP Implementeren op test'	'Is uitgevoerd'
'1.778'	'63.773'	'standcodering: migratie naar diensten'	'In uitvoering'	'CAT1'	'692.230'	'35 OTAP Functionele test'	'Is uitgevoerd'
'1.778'	'63.773'	'standcodering: migratie naar diensten'	'In uitvoering'	'CAT1'	'692.229'	'40 OTAP Implementeren op acceptatie'	'Is uitgevoerd'
'1.778'	'63.773'	'standcodering: migratie naar diensten'	'In uitvoering'	'CAT1'	'692.228'	'45 OTAP GAT test'	'Is uitgevoerd'
'1.778'	'63.773'	'standcodering: migratie naar diensten'	'In uitvoering'	'CAT1'	'692.227'	'50 OTAP Vrijgave wijziging'	'Wacht op uitvoering'
'1.778'	'63.773'	'standcodering: migratie naar diensten'	'In uitvoering'	'CAT1'	'692.226'	'60 OTAP Implementeren op productie'	'Wacht op uitvoering'
'1.778'	'63.773'	'standcodering: migratie naar diensten'	'In uitvoering'	'CAT1'	'692.225'	'80 OTAP Accepteren van de wijziging'	'Wacht op uitvoering'
'1.778'	'63.773'	'standcodering: migratie naar diensten'	'In uitvoering'	'CAT1'	'692.224'	'90 OTAP Bijwerken CMDB'	'Wacht op uitvoering'
'1.778'	'63.773'	'standcodering: migratie naar diensten'	'In uitvoering'	'CAT1'	'692.223'	'99 OTAP Evalueren van de wijziging'	'Wacht op uitvoering'
'1.778'	'63.979'	'BRV:  migratie naar diensten'	'In uitvoering'	'CAT1'	'694.311'	'10 OTAP Intake'	'Is uitgevoerd'
'1.778'	'63.979'	'BRV:  migratie naar diensten'	'In uitvoering'	'CAT1'	'694.310'	'20 OTAP Bouw'	'Is uitgevoerd'
'1.778'	'63.979'	'BRV:  migratie naar diensten'	'In uitvoering'	'CAT1'	'694.309'	'30 OTAP Implementeren op test'	'Is uitgevoerd'
'1.778'	'63.979'	'BRV:  migratie naar diensten'	'In uitvoering'	'CAT1'	'694.308'	'35 OTAP Functionele test'	'Is uitgevoerd'
'1.778'	'63.979'	'BRV:  migratie naar diensten'	'In uitvoering'	'CAT1'	'694.307'	'40 OTAP Implementeren op acceptatie'	'Is uitgevoerd'
'1.778'	'63.979'	'BRV:  migratie naar diensten'	'In uitvoering'	'CAT1'	'694.306'	'45 OTAP GAT test'	'In uitvoering'
'1.778'	'63.979'	'BRV:  migratie naar diensten'	'In uitvoering'	'CAT1'	'694.305'	'50 OTAP Vrijgave wijziging'	'Wacht op uitvoering'
'1.778'	'63.979'	'BRV:  migratie naar diensten'	'In uitvoering'	'CAT1'	'694.304'	'60 OTAP Implementeren op productie'	'Wacht op uitvoering'
'1.778'	'63.979'	'BRV:  migratie naar diensten'	'In uitvoering'	'CAT1'	'694.303'	'80 OTAP Accepteren van de wijziging'	'Wacht op uitvoering'
'1.778'	'63.979'	'BRV:  migratie naar diensten'	'In uitvoering'	'CAT1'	'694.302'	'90 OTAP Bijwerken CMDB'	'Wacht op uitvoering'
'1.778'	'63.979'	'BRV:  migratie naar diensten'	'In uitvoering'	'CAT1'	'694.301'	'99 OTAP Evalueren van de wijziging'	'Wacht op uitvoering'
'1.778'	'64.093'	'RME: Meetmiddelen intern :  migratie naar diensten'	'In uitvoering'	'CAT1'	'695.477'	'10 OTAP Intake'	'Is uitgevoerd'
'1.778'	'64.093'	'RME: Meetmiddelen intern :  migratie naar diensten'	'In uitvoering'	'CAT1'	'695.476'	'20 OTAP Bouw'	'Is uitgevoerd'
'1.778'	'64.093'	'RME: Meetmiddelen intern :  migratie naar diensten'	'In uitvoering'	'CAT1'	'695.475'	'30 OTAP Implementeren op test'	'Is uitgevoerd'
'1.778'	'64.093'	'RME: Meetmiddelen intern :  migratie naar diensten'	'In uitvoering'	'CAT1'	'695.474'	'35 OTAP Functionele test'	'Is uitgevoerd'
'1.778'	'64.093'	'RME: Meetmiddelen intern :  migratie naar diensten'	'In uitvoering'	'CAT1'	'695.473'	'40 OTAP Implementeren op acceptatie'	'In uitvoering'
'1.778'	'64.093'	'RME: Meetmiddelen intern :  migratie naar diensten'	'In uitvoering'	'CAT1'	'695.472'	'45 OTAP GAT test'	'Wacht op uitvoering'
'1.778'	'64.093'	'RME: Meetmiddelen intern :  migratie naar diensten'	'In uitvoering'	'CAT1'	'695.471'	'50 OTAP Vrijgave wijziging'	'Wacht op uitvoering'
'1.778'	'64.093'	'RME: Meetmiddelen intern :  migratie naar diensten'	'In uitvoering'	'CAT1'	'695.470'	'60 OTAP Implementeren op productie'	'Wacht op uitvoering'
'1.778'	'64.093'	'RME: Meetmiddelen intern :  migratie naar diensten'	'In uitvoering'	'CAT1'	'695.469'	'80 OTAP Accepteren van de wijziging'	'Wacht op uitvoering'
'1.778'	'64.093'	'RME: Meetmiddelen intern :  migratie naar diensten'	'In uitvoering'	'CAT1'	'695.468'	'90 OTAP Bijwerken CMDB'	'Wacht op uitvoering'
'1.778'	'64.093'	'RME: Meetmiddelen intern :  migratie naar diensten'	'In uitvoering'	'CAT1'	'695.467'	'99 OTAP Evalueren van de wijziging'	'Wacht op uitvoering'
