'ID'	'Korte omschrijving'	'Status'	'Categorie'
'60.821'	'Opruimen software & applicatie BAEB'	'Gesloten'	'CAT1'
'59.497'	'Aanvragen virtuele server voor C# migratie project'	'Gesloten'	'CAT1'
'59.422'	'Aanvragen server voor C# migratie project'	'Gesloten'	'CAT1'
'60.124'	'Aanvraag C# server (Acceptatie)'	'Gesloten'	'CAT1'
'60.125'	'Aanvraag C# server (Acceptatie)'	'Gesloten'	'CAT1'
'60.120'	'Aanvraag C# server (Test) '	'Gesloten'	'CAT1'
'60.129'	'Aanvraag C# server (Produktie)'	'Gesloten'	'CAT1'
'60.121'	'Aanvraag C# server (Acceptatie)'	'Gesloten'	'CAT1'
'60.123'	'Aanvraag C# server (Acceptatie)'	'Gesloten'	'CAT1'
'60.126'	'Aanvraag C# server (Produktie)'	'Gesloten'	'CAT1'
'60.127'	'Aanvraag C# server (Produktie)'	'Gesloten'	'CAT1'
'60.128'	'Aanvraag C# server (Produktie)'	'Gesloten'	'CAT1'
'62.498'	'Aanmaken 6 DNS-entries t.b.v. C# applicaties op O; '	'Gesloten'	'CAT0'
'62.755'	'Aanmaken groepen en GPO tbv C# 4.5 platform'	'Gesloten'	'CAT1'
'62.701'	'aan maken serviceaccounts op OT.TLD t.b.v. ontwikkel'	'Gesloten'	'CAT1'
'62.004'	'ADFS configureren voor webapplicatie RET'	'In uitvoering'	'CAT1'
'62.067'	'RET: migratie naar nieuw c# platform'	'In uitvoering'	'CAT1'
'62.068'	'RET: configureren ISA voor nieuwe omgeving'	'In uitvoering'	'CAT1'
'62.441'	'Aanmaken 3 DNS-entries t.b.v. C# applicaties op O; '	'Gesloten'	'CAT1'
'62.552'	'Aanmaken OU : C# 4.5  in:  ot.tld gatdiensten.tld diensten.tld'	'Gesloten'	'CAT1'
'64.341'	'standcodering: aanvraag zzstandcodering op gatdiensten en diensten'	'In uitvoering'	'CAT1'
'64.344'	'mob: aanvraag zzwebmob op gatdiensten en diensten'	'Gesloten'	'CAT1'
'64.345'	'rme: aanvraag zzwebrme op gatdiensten en diensten'	'In uitvoering'	'CAT1'
'63.374'	'Voor WebGaik en WebOVIZ op Ontwikkel serviceaccounts, ADFS en ISA instellingen implementeren'	'Gesloten'	'CAT1'
'63.453'	'Nieuwe C# 4.5 berichten servers toegang geven tot benodigde VIP''s'	'Gesloten'	'CAT1'
'63.377'	'Configuratie VIP028 aanpassen naar nieuwe C# 4.5 machines in presentatie berichten segment'	'Gesloten'	'CAT1'
'63.355'	'OP O (in OT) Aanmaken serviceaccounts en ADFS- en ISA rules voor: hhwuitsluiten-o, webcnb-o'	'Gesloten'	'CAT0'
'63.772'	'Standcodering: toevoegen cnames aan DNS'	'Gesloten'	'CAT0'
'63.774'	'Standcodering: C# 4.5 applicatie via script toevoegen in ADFS'	'Gesloten'	'CAT0'
'63.775'	'standcodering: Registreren standaard C# 4.5 applicatie in ISA'	'Gesloten'	'CAT0'
'63.983'	'BRV: C# 4.5 applicatie via script toevoegen in ADFS'	'Gesloten'	'CAT0'
'63.984'	'BRV:  Registreren standaard C# 4.5 applicatie in ISA'	'Gesloten'	'CAT0'
'63.988'	'Brv:Nieuwe DNS entry/entries voor BRV'	'Gesloten'	'CAT0'
'63.773'	'standcodering: migratie naar diensten'	'In uitvoering'	'CAT1'
'63.917'	'Applicationpool settings aanpassen c# 4.5 platform'	'Gesloten'	'CAT1'
'64.158'	'webmob: migratie naar diensten'	'Gesloten'	'CAT1'
'64.159'	'webmob: C# 4.5 applicatie via script toevoegen in ADFS'	'Gesloten'	'CAT0'
'63.979'	'BRV:  migratie naar diensten'	'In uitvoering'	'CAT1'
'64.096'	'RME:Registreren standaard C# 4.5 applicatie in ISA'	'Gesloten'	'CAT0'
'64.093'	'RME: Meetmiddelen intern :  migratie naar diensten'	'In uitvoering'	'CAT1'
'64.095'	'RME: C# 4.5 applicatie via script toevoegen in ADFS'	'In uitvoering'	'CAT0'
'64.097'	'RME:Nieuwe DNS entry/entries voor RME'	'Gesloten'	'CAT0'
'64.163'	'webmob: nieuwe cnames in DNS'	'Gesloten'	'CAT0'
'64.160'	'webmob: Registreren standaard C# 4.5 applicatie in ISA'	'Gesloten'	'CAT0'
'64.349'	'brv: aanvraag zzwebbrv op gatdiensten en diensten'	'In uitvoering'	'CAT1'
'66.147'	'Recall: Registreren standaard C# 4.5 applicatie in ISA'	'Gesloten'	'CAT0'
'66.151'	'Recall website: migratie naar c# platform'	'Gesloten'	'CAT1'
'66.252'	'FDR: Registreren standaard C# 4.5 applicatie in ISA'	'Gesloten'	'CAT0'
'66.243'	'terugroepregister: aanmaken/aanpassen DNS entries'	'Gesloten'	'CAT0'
'66.249'	'FDR: aanmaken/aanpassen DNS entries'	'Gesloten'	'CAT0'
'66.250'	'FDR: migratie naar c# platform'	'Gesloten'	'CAT1'
'66.251'	'FDR: aanvraag en aanpassen zz account door OTAP'	'Gesloten'	'CAT1'
'66.148'	'recall: aanvraag zz account door OTAP'	'Gesloten'	'CAT1'
'66.463'	'toegang verlenen testserver'	'Gesloten'	'CAT1'
'66.310'	'REM: aanvraag en aanpassen zz account door OTAP'	'Gesloten'	'CAT1'
'66.425'	'VLD raadplegen: aanmaken/aanpassen DNS entries'	'Gesloten'	'CAT0'
'66.426'	'VLD raadplegen: migratie naar c# platform'	'Gesloten'	'CAT1'
'66.431'	'VLD raadplegen: aanvraag en aanpassen zz account door OTAP'	'Gesloten'	'CAT1'
'66.432'	'VLD raadplegen: Registreren standaard C# 4.5 applicatie in ISA'	'Gesloten'	'CAT0'
'65.267'	'RIB: migratie naar diensten'	'In uitvoering'	'CAT1'
'64.874'	'Serverbeheer rechten geven op ADFS2 OTAP.'	'Gesloten'	'CAT0'
'64.930'	'REM: Registreren standaard C# 4.5 applicatie in ISA'	'Gesloten'	'CAT0'
'64.935'	'REM: toevoegen cname aan DNS'	'Gesloten'	'CAT0'
'65.256'	'TRB: Aanvraag zzwebtrb op gatdiensten en diensten'	'Gesloten'	'CAT1'
